Run,Population Size,Crossover Rate,Mutation Rate,Generations,Best Distance,Best Path
4,100,0.6,0.2,300,61.13744551656403,Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo
5,100,0.6,0.2,300,61.147486263112995,Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo
6,100,0.6,0.2,300,61.13744551656403,Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest
7,100,0.6,0.2,300,61.147486263112995,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow
8,100,0.6,0.2,300,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
9,100,0.6,0.2,300,61.13744551656403,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo
10,100,0.6,0.2,300,61.13744551656403,Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice
11,100,0.6,0.2,300,61.14748626311299,Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria
12,100,0.6,0.2,300,61.13744551656403,Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome
13,100,0.6,0.2,300,61.13744551656403,Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome
14,100,0.6,0.2,300,61.137445516564036,Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow
15,100,0.6,0.2,300,61.137445516564036,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice
16,100,0.6,0.2,300,61.13744551656403,Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome
17,100,0.6,0.2,300,61.13744551656403,Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow
18,100,0.6,0.2,300,61.147486263112995,Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio
19,100,0.6,0.2,300,61.13744551656402,Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio
20,100,0.6,0.2,300,61.13744551656403,Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome
