Run,Population Size,Crossover Rate,Mutation Rate,Generations,Best Distance,Best Path
20,100,0.6,0.2,100,61.13744551656403,Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest
21,100,0.6,0.2,100,61.13744551656403,Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio
22,100,0.6,0.2,100,61.147486263112995,Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio
23,100,0.6,0.2,100,61.14748626311299,Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
24,100,0.6,0.2,100,61.13744551656403,Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin
25,100,0.6,0.2,100,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
26,100,0.6,0.2,100,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
27,100,0.6,0.2,100,61.14748626311299,Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio
28,100,0.6,0.2,100,61.147486263112995,Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio
29,100,0.6,0.2,100,61.137445516564036,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice
30,100,0.6,0.2,100,61.14748626311299,Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo
1,100,0.6,0.2,200,61.13744551656403,Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest
2,100,0.6,0.2,200,61.137445516564036,Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow
3,100,0.6,0.2,200,61.13744551656403,Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome
4,100,0.6,0.2,200,61.13744551656403,Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow
5,100,0.6,0.2,200,61.14748626311299,Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest
6,100,0.6,0.2,200,61.13744551656403,Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin
7,100,0.6,0.2,200,61.137445516564036,Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo
8,100,0.6,0.2,200,61.14748626311299,Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome
9,100,0.6,0.2,200,61.137445516564036,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice
10,100,0.6,0.2,200,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
11,100,0.6,0.2,200,61.13744551656403,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo
12,100,0.6,0.2,200,61.13744551656403,Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest
13,100,0.6,0.2,200,61.14748626311299,Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
14,100,0.6,0.2,200,61.14748626311299,Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio
15,100,0.6,0.2,200,61.14748626311299,Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome
16,100,0.6,0.2,200,61.13744551656403,Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest
17,100,0.6,0.2,200,61.13744551656403,Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome
18,100,0.6,0.2,200,61.14748626311299,Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
19,100,0.6,0.2,200,61.137445516564036,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice
20,100,0.6,0.2,200,61.147486263113,Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris
21,100,0.6,0.2,200,61.14748626311299,Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio
22,100,0.6,0.2,200,61.13744551656403,Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin
23,100,0.6,0.2,200,62.180921934513435,Berlin -> Paris -> Alexandria -> Krakow -> Tokyo -> Rome -> Cairo -> Gliwice -> Budapest -> Rio
24,100,0.6,0.2,200,61.14748626311299,Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo
